"companyname","companynumber","regaddress_careof","regaddress_pobox","regaddress_addressline1","regaddress_addressline2","regaddress_posttown","regaddress_county","regaddress_country","regaddress_postcode","companycategory","companystatus","countryoforigin","dissolutiondate","incorporationdate","accounts_accountrefday","accounts_accountrefmonth","accounts_nextduedate","accounts_lastmadeupdate","accounts_accountcategory","returns_nextduedate","returns_lastmadeupdate","mortgages_nummortcharges","mortgages_nummortoutstanding","mortgages_nummortpartsatisfied","mortgages_nummortsatisfied","siccode_sictext_1","siccode_sictext_2","siccode_sictext_3","siccode_sictext_4","limitedpartnerships_numgenpartners","limitedpartnerships_numlimpartners","uri","previousname_1_condate","previousname_1_companyname","previousname_2_condate","previousname_2_companyname","previousname_3_condate","previousname_3_companyname","previousname_4_condate","previousname_4_companyname","previousname_5_condate","previousname_5_companyname","previousname_6_condate","previousname_6_companyname","previousname_7_condate","previousname_7_companyname","previousname_8_condate","previousname_8_companyname","previousname_9_condate","previousname_9_companyname","previousname_10_condate","previousname_10_companyname","confstmtnextduedate","confstmtlastmadeupdate","ref_period"
"HORIZON RESOURCING LIMITED","03882147","","","C/O THURSTON WATTS & CO","39-41 NORTH ROAD","LONDON","","","N7 9DP","Private Limited Company","Active","United Kingdom","","24/11/1999","31","3","31/12/2017","31/03/2016","TOTAL EXEMPTION FULL","22/12/2016","24/11/2015","0","0","0","0","70229 - Management consultancy activities other than financial management","79909 - Other reservation service activities n.e.c.","","","0","0","http://business.data.gov.uk/id/company/03882147","06/12/1999","HUMAN RESOURCING LIMITED","","","","","","","","","","","","","","","","","","","08/12/2017","24/11/2016","201706"
"HORNAGOLD & HILLS","LP004613","","","BRENTWOOD HOUSE","169 KINGS ROAD","BRENTWOOD","ESSEX","","CM14 4EG","Limited Partnership","Active","United Kingdom","","14/04/1994","","","","","NO ACCOUNTS FILED","","","0","0","0","0","None Supplied","","","","6","5","http://business.data.gov.uk/id/company/LP004613","","","","","","","","","","","","","","","","","","","","","28/04/2018","","201706"
"HORNCHURCH V.E. LIMITED","06559260","","","MERE WAY RUDDINGTON FIELDS BUSINESS PARK","RUDDINGTON","NOTTINGHAM","NOTTINGHAMSHIRE","","NG11 6NZ","Private Limited Company","Active","United Kingdom","","08/04/2008","31","12","30/09/2017","31/12/2015","FULL","06/05/2017","08/04/2016","1","1","0","0","96090 - Other service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/06559260","27/06/2008","FARNHAM V.E. LIMITED","","","","","","","","","","","","","","","","","","","22/04/2018","08/04/2017","201706"
"HORNTON GROUNDS STONE SALES LIMITED","07434223","","","THE GREAT TEW ESTATE OFFICE NEW ROAD","GREAT TEW","CHIPPING NORTON","OXFORDSHIRE","ENGLAND","OX7 4AH","Private Limited Company","Active","United Kingdom","","09/11/2010","31","12","30/09/2017","31/12/2015","TOTAL EXEMPTION SMALL","07/12/2016","09/11/2015","0","0","0","0","68209 - Other letting and operating of own or leased real estate","","","","0","0","http://business.data.gov.uk/id/company/07434223","17/02/2011","CHARCO 44 LIMITED","","","","","","","","","","","","","","","","","","","23/11/2017","09/11/2016","201706"
"HORSE DEALS LIMITED","04097886","","","MEDIA HOUSE PETERBOROUGH BUSINESS PARK","LYNCH WOOD","PETERBOROUGH","","UNITED KINGDOM","PE2 6EA","Private Limited Company","Active","United Kingdom","","27/10/2000","31","12","30/09/2017","31/12/2015","SMALL","12/12/2016","14/11/2015","0","0","0","0","58142 - Publishing of  consumer and business journals and periodicals","62090 - Other information technology service activities","","","0","0","http://business.data.gov.uk/id/company/04097886","20/08/2001","CASDAN LIMITED","","","","","","","","","","","","","","","","","","","28/11/2017","14/11/2016","201706"
"HORSEFERRY INVESTMENTS LIMITED","02306148","","","THE AKZONOBEL BUILDING","WEXHAM ROAD","SLOUGH","","UNITED KINGDOM","SL2 5DS","Private Limited Company","Active","United Kingdom","","17/10/1988","31","12","30/09/2017","31/12/2015","FULL","29/06/2017","01/06/2016","3","0","0","3","74990 - Non-trading company","","","","0","0","http://business.data.gov.uk/id/company/02306148","","","","","","","","","","","","","","","","","","","","","29/05/2018","15/05/2017","201706"
"HORSELL LODGE LIMITED","03892885","","","BRADBURY HOUSE 830 THE CRESCENT","COLCHESTER BUSINESS PARK","COLCHESTER","ESSEX","","CO4 9YQ","Private Limited Company","Active","United Kingdom","","13/12/1999","31","3","31/12/2017","31/03/2016","FULL","10/01/2017","13/12/2015","4","4","0","0","87100 - Residential nursing care facilities","","","","0","0","http://business.data.gov.uk/id/company/03892885","07/01/2000","VENTROLAND LIMITED","","","","","","","","","","","","","","","","","","","27/12/2017","13/12/2016","201706"
"HORSHAM V.E. LIMITED","03322182","","","MERE WAY RUDDINGTON FIELDS BUSINESS PARK","RUDDINGTON","NOTTINGHAM","NOTTINGHAMSHIRE","","NG11 6NZ","Private Limited Company","Active","United Kingdom","","21/02/1997","31","12","30/09/2017","31/12/2015","FULL","21/03/2017","21/02/2016","0","0","0","0","96090 - Other service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/03322182","20/08/1998","AYLESBURY V.E. LIMITED","","","","","","","","","","","","","","","","","","","07/03/2018","21/02/2017","201706"
"HORTELLUX LIMITED","00082417","","","LATHAM HOUSE 4TH FLOOR","33-34 PARADISE STREET","BIRMINGHAM","","","B1 2AJ","Private Limited Company","Active","United Kingdom","","28/10/1904","30","9","30/06/2017","30/09/2015","DORMANT","02/04/2017","05/03/2016","1","0","0","1","99999 - Dormant Company","","","","0","0","http://business.data.gov.uk/id/company/00082417","","","","","","","","","","","","","","","","","","","","","19/03/2018","05/03/2017","201706"
"HORTICULTURAL HALLS LIMITED","02074555","","","THE ROYAL HORTICULTURAL SOCIETY","80 VINCENT SQUARE","LONDON","","","SW1P 2PE","Private Limited Company","Active","United Kingdom","","17/11/1986","31","1","31/10/2017","31/01/2016","DORMANT","26/04/2017","29/03/2016","0","0","0","0","96090 - Other service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/02074555","","","","","","","","","","","","","","","","","","","","","12/04/2018","29/03/2017","201706"
"HORTICULTURE RESEARCH INTERNATIONAL","00173485","","","UNIVERSITY OF WARWICK","COVENTRY","WEST MIDLANDS","","","CV4 8UW","PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)","Active","United Kingdom","","03/03/1921","31","7","30/04/2018","31/07/2016","DORMANT","16/12/2016","18/11/2015","0","0","0","0","74990 - Non-trading company","","","","0","0","http://business.data.gov.uk/id/company/00173485","","","","","","","","","","","","","","","","","","","","","02/12/2017","18/11/2016","201706"
"HOSPITAL & HEALTHCARE CARS LTD","07317720","","","UNITS 6-7-8 TWELVETREES BUSINESS PARK","TWELVETREES CRESCENT","LONDON","","","E3 3JQ","Private Limited Company","Active","United Kingdom","","16/07/2010","31","12","30/09/2017","31/12/2015","FULL","13/08/2016","16/07/2015","1","0","0","1","49390 - Other passenger land transport","","","","0","0","http://business.data.gov.uk/id/company/07317720","01/12/2011","ADDISON LEE GREEN CROSS LTD.","10/03/2011","TTC NO.1 LTD","","","","","","","","","","","","","","","","","30/07/2018","16/07/2016","201706"
"HOSPITAL PLAN INSURANCE SERVICES","02100356","","","THE AIG BUILDING","58 FENCHURCH STREET","LONDON","","","EC3M 4AB","Private Unlimited Company","Active","United Kingdom","","16/02/1987","30","11","","30/11/2015","FULL","16/12/2016","18/11/2015","0","0","0","0","82990 - Other business support service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/02100356","","","","","","","","","","","","","","","","","","","","","02/12/2017","18/11/2016","201706"
"HOSPITALITY GEEKS LIMITED","SC479864","","","HAMILTON HOUSE","70 HAMILTON DRIVE","GLASGOW","","","G12 8DR","Private Limited Company","Active","United Kingdom","","12/06/2014","31","3","31/12/2017","31/03/2016","FULL","10/07/2017","12/06/2016","0","0","0","0","79909 - Other reservation service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/SC479864","","","","","","","","","","","","","","","","","","","","","26/06/2018","","201706"
"HOSPITALITY INTERACTIVE LIMITED","10371040","","","EDWARDIAN HOTELS LONDON","140 BATH ROAD","HAYES","MIDDX","UNITED KINGDOM","UB3 5AW","Private Limited Company","Active","United Kingdom","","12/09/2016","31","12","12/06/2018","","NO ACCOUNTS FILED","10/10/2017","","0","0","0","0","62090 - Other information technology service activities","","","","0","0","http://business.data.gov.uk/id/company/10371040","","","","","","","","","","","","","","","","","","","","","25/09/2018","","201706"
"HOST ACADEMY PLC","SC366604","","","HAMILTON HOUSE","70 HAMILTON DRIVE","GLASGOW","","","G12 8DR","Public Limited Company","Active","United Kingdom","","09/10/2009","31","3","30/09/2017","31/03/2016","FULL","06/11/2016","09/10/2015","0","0","0","0","85320 - Technical and vocational secondary education","","","","0","0","http://business.data.gov.uk/id/company/SC366604","","","","","","","","","","","","","","","","","","","","","23/10/2018","09/10/2016","201706"
"HOST MANAGEMENT LTD","04759938","","","550 SECOND FLOOR","THAMES VALLEY PARK","READING","","ENGLAND","RG6 1PT","Private Limited Company","Active","United Kingdom","","12/05/2003","31","12","30/09/2017","31/12/2015","FULL","09/06/2017","12/05/2016","7","5","0","2","56210 - Event catering activities","56290 - Other food services","","","0","0","http://business.data.gov.uk/id/company/04759938","28/08/2012","HOST CONTRACT MANAGEMENT LIMITED","04/03/2004","HOST FOOD MANAGEMENT LIMITED","06/02/2004","HOST CONTRACT MANAGEMENT LIMITED","17/09/2003","BEALAW (669) LIMITED","","","","","","","","","","","","","26/05/2018","12/05/2017","201706"
"HOTC LTD","06916928","","","MINT HOUSE","NEWARK CLOSE","ROYSTON","HERTS","","SG8 5HL","Private Limited Company","Active","United Kingdom","","27/05/2009","30","6","31/03/2018","26/06/2016","FULL","24/06/2017","27/05/2016","5","5","0","0","64209 - Activities of other holding companies n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/06916928","","","","","","","","","","","","","","","","","","","","","10/06/2018","27/05/2017","201706"
"HOTEL CHOCOLAT DK LTD","07883740","","","MINT HOUSE","NEWARK CLOSE","ROYSTON","HERTS","","SG8 5HL","Private Limited Company","Active","United Kingdom","","15/12/2011","30","6","31/03/2018","26/06/2016","FULL","12/01/2017","15/12/2015","2","2","0","0","82990 - Other business support service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/07883740","","","","","","","","","","","","","","","","","","","","","29/12/2017","15/12/2016","201706"
"HOTEL CHOCOLAT GROUP PLC","08612206","","","MINT HOUSE","NEWARK CLOSE","ROYSTON","HERTFORDSHIRE","","SG8 5HL","Public Limited Company","Active","United Kingdom","","16/07/2013","30","6","31/12/2017","26/06/2016","GROUP","13/08/2016","16/07/2015","4","4","0","0","64209 - Activities of other holding companies n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/08612206","","","","","","","","","","","","","","","","","","","","","30/07/2018","16/07/2016","201706"
"HOTEL CHOCOLAT LIMITED","02805730","","","MINT HOUSE","NEWARK CLOSE","ROYSTON","HERTFORDSHIRE","","SG8 5HL","Private Limited Company","Active","United Kingdom","","01/04/1993","30","6","31/03/2018","26/06/2016","FULL","28/04/2017","31/03/2016","14","10","0","4","10821 - Manufacture of cocoa and chocolate confectionery","","","","0","0","http://business.data.gov.uk/id/company/02805730","09/05/2003","CHOCEXPRESS LIMITED","","","","","","","","","","","","","","","","","","","14/04/2018","31/03/2017","201706"
"HOTEL CHOCOLAT NL LTD","07885370","","","MINT HOUSE","NEWARK CLOSE","ROYSTON","HERTS","","SG8 5HL","Private Limited Company","Active","United Kingdom","","16/12/2011","30","6","31/03/2018","26/06/2016","FULL","13/01/2017","16/12/2015","3","3","0","0","82990 - Other business support service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/07885370","","","","","","","","","","","","","","","","","","","","","30/12/2017","16/12/2016","201706"
"HOTEL CHOCOLAT STORES LIMITED","05131765","","","MINT HOUSE, NEWARK CLOSE","ROYSTON","HERTFORDSHIRE","","","SG8 5HL","Private Limited Company","Active","United Kingdom","","18/05/2004","30","6","31/03/2018","26/06/2016","FULL","15/06/2017","18/05/2016","9","7","0","2","82990 - Other business support service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/05131765","","","","","","","","","","","","","","","","","","","","","01/06/2018","18/05/2017","201706"
"HOTEL CLEANING SERVICES LIMITED","04047914","","","11 BEAVOR LANE","","LONDON","","ENGLAND","W6 9AR","Private Limited Company","Active","United Kingdom","","07/08/2000","31","12","30/09/2017","31/12/2015","DORMANT","04/09/2016","07/08/2015","0","0","0","0","78200 - Temporary employment agency activities","","","","0","0","http://business.data.gov.uk/id/company/04047914","17/09/2001","BROADWAY ONLINE LTD","","","","","","","","","","","","","","","","","","","21/08/2018","07/08/2016","201706"
"HOTEL DU VIN (EDINBURGH) LIMITED","06156056","","","30-31 COWCROSS STREET","","LONDON","","ENGLAND","EC1M 6DQ","Private Limited Company","Active","United Kingdom","","13/03/2007","30","9","30/06/2017","30/06/2015","FULL","28/12/2016","30/11/2015","2","0","0","2","55100 - Hotels and similar accommodation","","","","0","0","http://business.data.gov.uk/id/company/06156056","18/09/2008","MALMAISON ABERDEEN LIMITED","16/04/2007","FINLAW 556 LIMITED","","","","","","","","","","","","","","","","","14/12/2017","30/11/2016","201706"
"HOTEL DU VIN LIMITED","03193780","","","30-31 COWCROSS STREET","","LONDON","","ENGLAND","EC1M 6DQ","Private Limited Company","Active","United Kingdom","","02/05/1996","30","9","30/06/2017","30/06/2015","FULL","28/12/2016","30/11/2015","31","0","0","31","64209 - Activities of other holding companies n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/03193780","08/01/2001","THE ALTERNATIVE HOTEL COMPANY LIMITED","","","","","","","","","","","","","","","","","","","14/12/2017","30/11/2016","201706"
"HOTEL DU VIN NEWCASTLE LIMITED","06156099","","","30-31 COWCROSS STREET","","LONDON","","ENGLAND","EC1M 6DQ","Private Limited Company","Active","United Kingdom","","13/03/2007","30","9","30/06/2017","30/06/2015","FULL","28/12/2016","30/11/2015","2","0","0","2","55100 - Hotels and similar accommodation","","","","0","0","http://business.data.gov.uk/id/company/06156099","16/04/2007","FINLAW 557 LIMITED","","","","","","","","","","","","","","","","","","","14/12/2017","30/11/2016","201706"
"HOTEL DU VIN TRADING LIMITED","08960779","","","30-31 COWCROSS STREET","","LONDON","","ENGLAND","EC1M 6DQ","Private Limited Company","Active","United Kingdom","","26/03/2014","30","9","30/06/2017","30/06/2015","FULL","23/04/2017","26/03/2016","6","0","0","6","55100 - Hotels and similar accommodation","","","","0","0","http://business.data.gov.uk/id/company/08960779","","","","","","","","","","","","","","","","","","","","","09/04/2018","26/03/2017","201706"
"HOTEL IMPERIAL (HYTHE) LIMITED(THE)","00446876","","","WELLINGTON HOUSE CLIFFE PARK BRUNTCLIFFE ROAD","MORLEY","LEEDS","WEST YORKSHIRE","","LS27 0RY","Private Limited Company","Active","United Kingdom","","19/12/1947","31","12","30/09/2018","01/01/2017","DORMANT","23/11/2016","26/10/2015","2","0","0","2","99999 - Dormant Company","","","","0","0","http://business.data.gov.uk/id/company/00446876","","","","","","","","","","","","","","","","","","","","","09/11/2018","26/10/2016","201706"
"HOTEL INTER-CONTINENTAL LONDON LIMITED","01036984","","","BROADWATER PARK","","DENHAM","BUCKINGHAMSHIRE","","UB9 5HR","Private Limited Company","Active","United Kingdom","","04/01/1972","31","12","30/09/2017","31/12/2015","FULL","28/07/2016","30/06/2015","24","1","0","22","55100 - Hotels and similar accommodation","","","","0","0","http://business.data.gov.uk/id/company/01036984","08/02/2000","APSLEY HOTELS LIMITED","","","","","","","","","","","","","","","","","","","14/07/2018","30/06/2016","201706"
"HOTELBEDS UK LIMITED","01163558","","","5TH FLOOR","6 ST. ANDREW STREET","LONDON","","UNITED KINGDOM","EC4A 3AE","Private Limited Company","Active","United Kingdom","","19/03/1974","30","9","30/06/2018","30/09/2016","FULL","08/06/2017","11/05/2016","8","3","0","5","79110 - Travel agency activities","","","","0","0","http://business.data.gov.uk/id/company/01163558","24/05/2011","TRINA TOURS LIMITED","","","","","","","","","","","","","","","","","","","25/05/2018","11/05/2017","201706"
"HOTELCARE (LONDON) LIMITED","04003756","","","5TH FLOOR 24 OLD BOND STREET","MAYFAIR","LONDON","","UNITED KINGDOM","W1S 4AW","Private Limited Company","Active","United Kingdom","","30/05/2000","31","12","30/09/2017","31/12/2015","TOTAL EXEMPTION SMALL","27/06/2017","30/05/2016","2","0","0","2","81210 - General cleaning of buildings","","","","0","0","http://business.data.gov.uk/id/company/04003756","10/07/2002","HOTELCARE (WEST END) LIMITED","","","","","","","","","","","","","","","","","","","13/06/2018","","201706"
"HOTELS LONDON LIMITED","03734526","","","6TH FLOOR","30 MILLBANK","LONDON","","UNITED KINGDOM","SW1P 4DU","Private Limited Company","Active","United Kingdom","","17/03/1999","31","3","31/12/2017","31/03/2016","DORMANT","08/06/2017","11/05/2016","0","0","0","0","62090 - Other information technology service activities","","","","0","0","http://business.data.gov.uk/id/company/03734526","","","","","","","","","","","","","","","","","","","","","25/05/2018","11/05/2017","201706"
"HOTRECRUIT LIMITED","04166527","","","ONE CANADA SQUARE","CANARY WHARF","LONDON","","","E14 5AP","Private Limited Company","Active","United Kingdom","","23/02/2001","31","12","30/09/2017","27/12/2015","DORMANT","01/03/2017","01/02/2016","2","0","0","2","74990 - Non-trading company","","","","0","0","http://business.data.gov.uk/id/company/04166527","01/11/2006","VECTIS INNOVATIONS LIMITED","","","","","","","","","","","","","","","","","","","15/02/2018","01/02/2017","201706"
"HOTTER GROUP HOLDINGS LIMITED","06428326","","","2 PEEL ROAD","","SKELMERSDALE","LANCASHIRE","","WN8 9PT","Private Limited Company","Active","United Kingdom","","15/11/2007","31","1","31/10/2017","31/01/2016","FULL","19/12/2016","21/11/2015","6","2","0","4","70100 - Activities of head offices","","","","0","0","http://business.data.gov.uk/id/company/06428326","08/01/2008","COBCO 858 LIMITED","","","","","","","","","","","","","","","","","","","05/12/2017","21/11/2016","201706"
"HOTTER HOLDINGS LIMITED","06428810","","","2 PEEL ROAD","","SKELMERSDALE","LANCASHIRE","","WN8 9PT","Private Limited Company","Active","United Kingdom","","16/11/2007","31","1","31/10/2017","31/01/2016","TOTAL EXEMPTION FULL","14/12/2016","16/11/2015","5","2","0","3","70100 - Activities of head offices","","","","0","0","http://business.data.gov.uk/id/company/06428810","08/01/2008","COBCO 859 LIMITED","","","","","","","","","","","","","","","","","","","30/11/2017","16/11/2016","201706"
"HOTTER LIMITED","06073997","","","2 PEEL ROAD","","SKELMERSDALE","LANCASHIRE","","WN8 9PT","Private Limited Company","Active","United Kingdom","","30/01/2007","31","1","31/10/2017","31/01/2016","TOTAL EXEMPTION FULL","26/02/2017","29/01/2016","5","2","0","3","70100 - Activities of head offices","","","","0","0","http://business.data.gov.uk/id/company/06073997","","","","","","","","","","","","","","","","","","","","","12/02/2018","29/01/2017","201706"
"HOUGHTON & HETTON HOUSING COMPANY LIMITED","04039240","","","2 EMPEROR WAY","SUNDERLAND","","","","SR3 3XR","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active","United Kingdom","","24/07/2000","31","3","31/12/2017","31/03/2016","DORMANT","21/08/2016","24/07/2015","1","1","0","0","99999 - Dormant Company","","","","0","0","http://business.data.gov.uk/id/company/04039240","","","","","","","","","","","","","","","","","","","","","07/08/2018","24/07/2016","201706"
"HOUGHTON & LAPPIN LIMITED","00291218","","","SAPPHIRE COURT","WALSGRAVE TRIANGLE","COVENTRY","","","CV2 2TX","Private Limited Company","Active","United Kingdom","","15/08/1934","31","3","31/12/2017","31/03/2016","DORMANT","07/01/2017","10/12/2015","21","0","0","21","74990 - Non-trading company","","","","0","0","http://business.data.gov.uk/id/company/00291218","","","","","","","","","","","","","","","","","","","","","26/12/2017","12/12/2016","201706"
"HOUNSLOW V.E. LIMITED","03690949","","","MERE WAY RUDDINGTON FIELDS BUSINESS PARK","RUDDINGTON","NOTTINGHAM","NOTTINGHAMSHIRE","","NG11 6NZ","Private Limited Company","Active","United Kingdom","","31/12/1998","31","12","30/09/2017","31/12/2015","FULL","28/01/2017","31/12/2015","0","0","0","0","96090 - Other service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/03690949","","","","","","","","","","","","","","","","","","","","","14/01/2018","31/12/2016","201706"
"HOUSE OF CAMPBELL LIMITED","SC017607","","","111/113 RENFREW ROAD","PAISLEY","RENFREWSHIRE","","","PA3 4DY","Private Limited Company","Active","United Kingdom","","30/11/1933","30","6","31/03/2018","30/06/2016","FULL","25/07/2017","27/06/2016","2","0","0","2","74990 - Non-trading company","","","","0","0","http://business.data.gov.uk/id/company/SC017607","","","","","","","","","","","","","","","","","","","","","11/07/2018","","201706"
"HOUSE OF DUBREQ LIMITED","01560011","","","COMMUNISIS HOUSE","MANSTON LANE","LEEDS","","","LS15 8AH","Private Limited Company","Active","United Kingdom","","07/05/1981","31","12","30/09/2017","31/12/2015","DORMANT","25/08/2016","28/07/2015","0","0","0","0","99999 - Dormant Company","","","","0","0","http://business.data.gov.uk/id/company/01560011","","","","","","","","","","","","","","","","","","","","","11/08/2018","28/07/2016","201706"
"HOUSE OF FRASER (STORES) LIMITED","SC010677","","","GRANITE HOUSE","31 STOCKWELL STREET","GLASGOW","","","G1 4RZ","Private Limited Company","Active","United Kingdom","","17/10/1919","31","1","31/10/2017","30/01/2016","FULL","06/12/2016","08/11/2015","37","5","0","32","47190 - Other retail sale in non-specialised stores","","","","0","0","http://business.data.gov.uk/id/company/SC010677","","","","","","","","","","","","","","","","","","","","","22/11/2018","08/11/2016","201706"
"HOUSE OF HILL HOLDINGS LIMITED","03888608","","","WINCANTON PLC","METHUEN PARK","CHIPPENHAM","WILTSHIRE","","SN14 0WT","Private Limited Company","Active","United Kingdom","","03/12/1999","31","3","31/12/2017","31/03/2016","DORMANT","29/12/2016","01/12/2015","1","0","0","1","74990 - Non-trading company","","","","0","0","http://business.data.gov.uk/id/company/03888608","","","","","","","","","","","","","","","","","","","","","15/12/2017","01/12/2016","201706"
"HOUSE OF HILL LIMITED","02486077","","","WINCANTON PLC","METHUEN PARK","CHIPPENHAM","WILTSHIRE","","SN14 0WT","Private Limited Company","Active","United Kingdom","","28/03/1990","31","3","31/12/2017","31/03/2016","DORMANT","25/04/2017","28/03/2016","2","0","0","2","99999 - Dormant Company","","","","0","0","http://business.data.gov.uk/id/company/02486077","","","","","","","","","","","","","","","","","","","","","11/04/2018","28/03/2017","201706"
"HOUSE RESTAURANTS NO.1 LIMITED","SC484159","","","HAMILTON HOUSE","70 HAMILTON DRIVE","GLASGOW","","","G12 8DR","Private Limited Company","Active","United Kingdom","","12/08/2014","31","3","31/12/2017","31/03/2016","FULL","09/09/2016","12/08/2015","0","0","0","0","56101 - Licensed restaurants","","","","0","0","http://business.data.gov.uk/id/company/SC484159","","","","","","","","","","","","","","","","","","","","","26/08/2018","12/08/2016","201706"
"HOUSE RESTAURANTS NO.2 LIMITED","SC484160","","","HAMILTON HOUSE","70 HAMILTON DRIVE","GLASGOW","","","G12 8DR","Private Limited Company","Active","United Kingdom","","12/08/2014","31","3","31/12/2017","31/03/2016","FULL","09/09/2016","12/08/2015","1","1","0","0","56101 - Licensed restaurants","","","","0","0","http://business.data.gov.uk/id/company/SC484160","","","","","","","","","","","","","","","","","","","","","26/08/2018","12/08/2016","201706"
"HOUSE RESTAURANTS NO.3 LIMITED","SC484162","","","HAMILTON HOUSE","70 HAMILTON DRIVE","GLASGOW","","","G12 8DR","Private Limited Company","Active","United Kingdom","","12/08/2014","31","3","31/12/2017","31/03/2016","FULL","09/09/2016","12/08/2015","0","0","0","0","56101 - Licensed restaurants","","","","0","0","http://business.data.gov.uk/id/company/SC484162","","","","","","","","","","","","","","","","","","","","","26/08/2018","12/08/2016","201706"
